id,title,type,release_year,runtime,backdrop_path,made_by_netflix,maturity_rating,maturity_warning,maturity_rating_reason,maturity_rating_board,overview,genres,cast,content_is,subtitles,audio
80242820,The Chalk Line,movie,2022,6429.0,https://occ-0-2366-2164.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABawDu77Tujq-_zBaifXNSUJnVeim43mefQ7TE46MpaRP_XLI5Z1_LyAcdZA_W44SHt3w-cC5FccO5-EAHU2lDvPkhyqw_jfUhS9mfX0SRPDELMGYkDvEddiu9m91eSQDDiis.jpg?r=849,True,U/A 16+,Suitable for persons aged 16 and above and under parental guidance for people under age of 16,"['child abuse references', 'sexual violence references', 'violence']",India,"After a couple finds a traumatized child of unknown origins, wife Paula must decipher the girl's strange behaviors to unlock her identity and dark past.","['Spanish', 'Crime Movies', 'Thriller Movies', 'Mystery Movies']","['Elena Anaya', 'Pablo Molinero', 'Eva Tennear', 'Carlos Santos', 'Eva Llorach', 'Esther Acebo', 'Eloy Azorín']","['Dark', 'Suspenseful']","['English', 'English', 'European Spanish']","['English', 'European Spanish - Audio Description', 'European Spanish [Original]']"
81555916,The Characters of the Continent,movie,2021,570.0,https://occ-0-2366-2164.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABZZtoTF89AIVo8aQWZ2EgKJDE9m9TuPhaWqqZVlwHdmSsGyiN_e0dT1kE-3ElHKQ0_tQ3prd_v7NzhUgrXrm7L0wSTwLlBEvDRw.jpg?r=8f7,True,A,Content restricted to adults,['violence'],India,"With the cast and creator as your guides, explore the world of Elves, Dwarves, Mages and Witchers with behind-the-scenes footage, interviews and more.","['Dramas', 'Movies Based on Books', 'Action & Adventure Movies', 'US Movies']","['Henry Cavill', 'Anya Chalotra', 'Freya Allan', 'Lauren Schmidt Hissrich', 'Mecia Simson', 'Mimî M Khayisa', 'Tom Canton', 'Wilson Mbomio', 'Jeremy Crawford', 'MyAnna Buring', 'Anna Shaffer', 'Royce Pierreson', 'Basil Eidenbenz', 'Kim Bodnia', 'Paul Bullion', 'Yasen Atour']",['Exciting'],['English'],['English [Original]']
80226357,The Chase,movie,2017,6612.0,https://occ-0-2366-2164.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABUeit6DYalUSTrnMno2CWBuhl-QtSR2Bt5Qd9Hg7pD6lgWlnldLoXiGozMdQwx5QMHIJ7E5_Cw-WLRgMjRz9VIHSwqd9upV1N5Y.webp?r=7bb,False,A,Content restricted to adults,"['substances', 'suicide']",India,"After people in his town start turning up dead, a grumpy landlord is visited by a man who recounts an unsolved serial murder case from 30 years ago.","['Korean', 'Crime Movies', 'Dramas', 'Thriller Movies']","['Baek Yoon-sik', 'Sung Dong-il', 'Cheon Ho-jin', 'Bae Jong-ok']",['Suspenseful'],['English'],['Korean [Original]']
80199682,The Christmas Chronicles,movie,2018,6314.0,https://occ-0-2366-2164.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABS-lZGDeAwi5AhngjllgfggGNLgsgIEpSOF-Z3LJuIK_deE8iXodJIB--QbusRv8SUuQjDi7DJUnkfY5hWkBeZv4MmGNXeg3EsjqAmgdStW05n0Ud1EgD9nrbZjRfYc5dTXT.jpg?r=962,True,U/A 7+,Suitable for children 7 and above and under parental guidance for persons under age of 7,"['mild fear', 'mild language', 'mild violence']",India,"After accidentally crashing Santa's sleigh, a brother and sister pull an all-nighter to save Christmas with a savvy, straight-talking St. Nick.","['Family Features', 'Children & Family Movies', 'Comedy Movies', 'US Movies']","['Kurt Russell', 'Darby Camp', 'Judah Lewis', 'Kimberly Williams-Paisley', 'Oliver Hudson', 'Lamorne Morris', 'Martin Roach']","['Heartfelt', 'Feel-Good', 'Exciting']",['English'],"['English - Audio Description', 'English [Original]', 'Hindi']"
80988988,The Christmas Chronicles: Part Two,movie,2020,6916.0,https://occ-0-2366-2164.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABWf4NSN8mvnvW3mjjLvV8Mc-JWd6_d4c3p7SGx8iFdVCEYy_t8PIdPpxnOGFe0jnRIZkTNOkYfrNXKBkUj4t9u3pvAL0K-eK3gTBjnKsJWFSGTk_AuyeaBu9zyc7IVyHjwmA.jpg?r=85f,True,U/A 7+,Suitable for children 7 and above and under parental guidance for persons under age of 7,"['mild fear', 'mild violence']",India,"Unhappy over her mom’s new relationship, a now-teenage Kate runs away and lands at the North Pole, where a naughty elf is plotting to cancel Christmas.","['Family Features', 'Children & Family Movies', 'Comedy Movies', 'US Movies']","['Kurt Russell', 'Goldie Hawn', 'Darby Camp', 'Jahzir Bruno', 'Julian Dennison', 'Judah Lewis', 'Kimberly Williams-Paisley', 'Tyrese Gibson']","['Feel-Good', 'Exciting']",['English'],"['English - Audio Description', 'English [Original]', 'Hindi']"
81351079,The Circle - The Afterparty,movie,2021,2101.0,https://occ-0-2366-2164.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABcKm7ruEp85zBv4cWSvp71Gs1ASx0c7YETagfyIpv08cNOvjMJ0nVrGQrY_jtZxHgqAzuIl-wyxDgg1I7x3ucy9D6zf60ciYjdxq_D7PTgsPAA1zCXM6hxuwSzO0zhq6MKO1.jpg?r=2e4,True,U/A 13+,Suitable for persons aged 13 and above and under parental guidance for people under age of 13,"['crude humor', 'language']",India,"Stars of ""The Circle"" drop by to discuss Season 2's big winner, some juicy behind-the-scenes gossip and their enduring friendships with one another.","['Comedy Movies', 'Reality TV', 'US Movies', 'Variety TV']","['David Spade', 'London Hughes', 'Fortune Feimster']",['Witty'],['English'],"['English - Audio Description', 'English [Original]']"
81284581,The Claudia Kishi Club,movie,2020,1031.0,https://occ-0-2366-2164.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABYSD5COvbSqC0ZsMNT64dX4LvuvM6um8_eGSlmj1b_hDga7XAGmuAjbAATyKiDcCVoGk-gZ5M0_v6ZZt3cM0EL5ZCS-T3FoOhDQiDr5eStsI-_x_ekDGcQKzF7iDV44f96E0.jpg?r=dd4,True,U/A 13+,Suitable for persons aged 13 and above and under parental guidance for people under age of 13,['language'],India,"Asian American creatives pay passionate tribute to the iconic, stereotype-busting ""Baby-Sitters Club"" character in this heartfelt documentary short.","['Documentaries', 'Social & Cultural Docs', 'US Movies']",[],"['Inspiring', 'Feel-Good']",['English'],"['English - Audio Description', 'English [Original]']"
81316603,The Claus Family,movie,2020,5861.0,https://occ-0-2366-2164.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABePpOAVIlLo75XgF23tmk8VxdZDfSjqSqOrOMELi7ppjbKrI_SRf9h4YqCsEZDH9wj2xkCkwX_OhdyVTxsJQyPU6rf7v4PDgMGDXupUiEv0IqzbgYlfAQ6VwO014Q_4tIg8X.jpg?r=a26,True,U/A 7+,Suitable for children 7 and above and under parental guidance for persons under age of 7,['mild themes'],India,"When his grandfather suddenly falls ill, holiday-hating Jules learns of his family's magical legacy and realizes he's the only hope to save Christmas.","['Family Features', 'Children & Family Movies', 'Dutch']","['Jan Decleir', 'Mo Bakker', 'Bracha van Doesburgh', 'Renée Soutendijk', 'Amber Metdepenningen', 'Stefaan Degand', 'Eva van der Gucht', 'Janne Desmet', 'Josje Huisman', 'Wim Willaert', 'Pommelien Thijs', 'Sien Eggers', 'Rashif El Kaoui', 'Carly Wijs']","['Heartfelt', 'Feel-Good']","['English', 'English', 'Flemish']","['English', 'Flemish - Audio Description', 'Flemish [Original]']"
81435416,The Claus Family 2,movie,2021,5890.0,https://occ-0-2366-2164.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABZxUyT6nf0ovKHfX90bjcHzj9QC9RIHaTHqBb4R5oR9QHecQw-ytDACZB1eFzvpKmGXuZdKEbiSCSafAiqlKZzmqq86zRkjUrBNaLEc-dvSehnm54LgQafopzyLYaJq2EO2a.jpg?r=f11,True,U/A 7+,Suitable for children 7 and above and under parental guidance for persons under age of 7,['mild fear'],India,"Santa's one job? Deliver presents. But as Jules takes the reins from his Grandpa Noël, he receives a young girl's letter with a special holiday wish.","['Family Features', 'Children & Family Movies', 'Dutch']","['Mo Bakker', 'Jan Decleir', 'Bracha van Doesburgh', 'Eva van der Gucht', 'Josje Huisman', 'Janne Desmet', 'Stefaan Degand', 'Renée Soutendijk', 'Sien Eggers', 'Amber Metdepenningen', 'Pommelien Thijs']","['Heartfelt', 'Feel-Good']","['English', 'English', 'Flemish']","['English', 'Flemish - Audio Description', 'Flemish [Original]']"
70158047,The Client List,movie,2010,5302.0,https://occ-0-2366-2164.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABYxWYuseCmSmw0kyd1iCzsiJl0pRKTOvGToCRX3c6_hOS7Plkv1yotnkJXKDbIXw14Xc60FoVtwz9VbaLo0c6cUD2q7Q1-YYya4.webp?r=31a,False,U/A 16+,Suitable for persons aged 16 and above and under parental guidance for people under age of 16,['nudity'],India,A young wife and mother goes to work at a massage studio and soon discovers that her co-workers are actually prostitutes for high-end clients.,"['Dramas', 'US Movies']","['Jennifer Love Hewitt', 'Teddy Sears', 'Sonja Bennett', 'Lynda Boyd', 'Chelah Horsdal', 'Heather Doerksen', 'Kacey Rohl', 'Kandyse McClure', 'Cybill Shepherd']","['Bittersweet', 'Emotional']","['English', 'English', 'Hindi']","['English [Original]', 'Hindi']"
