id,title,type,release_year,runtime,backdrop_path,made_by_netflix,maturity_rating,maturity_warning,maturity_rating_reason,maturity_rating_board,overview,genres,cast,content_is,subtitles,audio
81205993,Fierce,movie,2020,7106.0,https://occ-0-2890-2186.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABdU3dMiLf65tOdV5Kf9yQ6PeL1VuAXSrqI4AqVacYIOtp_hHEJHaSkvdGRBt3dHXsUqHRfPTDbbucNv346IOU8B1YCsr1LYuicIyB2Q0ZgTt_jGeiTY4YdNuN_nsh9UFSAEt.jpg?r=1b3,True,U/A 16+,Suitable for persons aged 16 and above and under parental guidance for people under age of 16,"['language', 'tobacco use']",India,"A gifted young singer becomes an instant sensation on a popular talent show. But her real goal is earning the love of her father, a member of the jury.","['Polish', 'Dramas', 'Comedy Movies', 'Teen Movies', 'Musicals']","['Katarzyna Sawczuk', 'Maciej Zakościelny', 'Anita Sokołowska', 'Julia Kamińska', 'Tomasz Karolak', 'Maria Pakulnis', 'Barbara Wypych', 'Wojciech Solarz', 'Adrian Majewski', 'Michał Piprowski', 'Urszula Dudziak', 'Krzysztof Ibisz']","['Heartfelt', 'Feel-Good', 'Emotional']","['English', 'English', 'Polish']","['English', 'Polish - Audio Description', 'Polish [Original]']"
80082739,Fifty,movie,2015,6058.0,https://occ-0-2890-2186.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABY93VshVdrUPf-m9yxBj6NZDdy9j8u1Qq10eLEied3Z5hA86f1BXPP2cLV7mzyRKn0htCx624wCpP0Uke0Vq0q0VPjiFboiWZUY.webp?r=4ca,False,A,Content restricted to adults,"['nudity', 'tobacco use']",India,"In Lagos, Nigeria, four successful women on the verge of 50 take stock of their lives and loves over the course of one week.","['Nollywood', 'Dramas', 'African Movies']","['Dakore Egbuson-Akande', 'Iretiola Doyle', 'Nse Ikpe-Etim', 'Omoni Oboli']","['Intimate', 'Heartfelt', 'Emotional']",['English'],['English [Original]']
80131194,Fifty Shades Darker,movie,2017,7075.0,https://occ-0-2890-2186.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABU8XAoiGo7_RUWRL8UArG2cMXxMN_W9KQExoy4py6fgtiodyC-PcrC_HCWFnG7mc9nzNp1pq2cLGN7QF4oSCgh_8gSe7qr-8PdU.webp?r=cee,False,A,Content restricted to adults,"['nudity', 'sex']",India,"Anastasia embarks on a publishing career, as Christian renegotiates the terms of their relationship. But outside forces threaten to rip them apart.","['Dramas', 'Romantic Movies', 'Movies Based on Books', 'US Movies']","['Dakota Johnson', 'Jamie Dornan', 'Eric Johnson', 'Luke Grimes', 'Eloise Mumford', 'Bella Heathcote', 'Rita Ora', 'Marcia Gay Harden', 'Victor Rasuk', 'Max Martini', 'Bruce Altman']","['Steamy', 'Romantic']","['English', 'Hindi']","['English - Audio Description', 'English [Original]', 'Hindi']"
80200957,Fifty Shades Freed,movie,2018,6324.0,https://occ-0-2890-2186.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABW48vQ_3qBZfNsw7zYpifytFr9wPRNF1DMC5rTotoinvN4tuIu7IoBpIedr9oh-vop8gcWj-wvjig8XZUToZ1Cn6I8KWDF-lLx0.webp?r=3ab,False,A,Content restricted to adults,"['nudity', 'sex']",India,Newlyweds Anastasia and Christian barely begin to settle into postnuptial bliss when a shadowy figure from the past threatens their happily-ever-after.,"['Dramas', 'Romantic Movies', 'Movies Based on Books', 'US Movies']","['Dakota Johnson', 'Jamie Dornan', 'Kim Basinger', 'Gary Hudson', 'Tyler Hoechlin', 'Andrew Airlie', 'Eric Johnson', 'Dylan Neal', 'Brant Daugherty', 'Marcia Gay Harden', 'Rita Ora', 'Michelle Harrison', 'Luke Grimes', 'Arielle Kebbel', 'Fay Masterson', 'Max Martini', 'Jennifer Ehle', 'Victor Rasuk']","['Steamy', 'Romantic']","['English', 'Hindi']","['English - Audio Description', 'English [Original]', 'Hindi']"
80013872,Fifty Shades of Grey,movie,2015,7514.0,https://occ-0-2890-2186.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABchN964gwJjpBUdQxiKSdqBHsgfZBQ9hAJAVEkhJJu_FjR5nnx5P2fQBtkFv6tpm6WVhGIyKTgBzlFAeiOLiidNkLKcERc0WuEU.webp?r=be2,False,A,Content restricted to adults,"['nudity', 'sex']",India,Business tycoon Christian Grey pursues wide-eyed college student Anastasia Steele and introduces her to his particular brand of intense erotic desires.,"['Dramas', 'Romantic Movies', 'Movies Based on Books', 'US Movies']","['Dakota Johnson', 'Jamie Dornan', 'Jennifer Ehle', 'Eloise Mumford', 'Victor Rasuk', 'Luke Grimes', 'Marcia Gay Harden', 'Rita Ora', 'Max Martini', 'Callum Keith Rennie']","['Steamy', 'Romantic']","['English', 'Hindi']","['English - Audio Description', 'English [Original]', 'Hindi']"
81713120,Filip,movie,2022,7126.0,https://occ-0-2890-2186.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABWT9eNO7sSevdCeJBayseUOLyO3_7cpz-Ahp0XkdGUZUGnSrpTK7mHMHUOAev1nIlU67C9KX1Vp-6uc2P2mq7Cu1koYMYEYtT7w.webp?r=dc3,False,A,Content restricted to adults,"['nudity', 'sex', 'suicide', 'tobacco use']",India,"During World War II, a Polish food server at a luxury German hotel tempts fate as he romances local women while hiding his Jewish identity.","['Polish', 'Military Movies', 'Dramas', 'Movies Based on Books', 'Movies Based on Real Life']","['Eryk Kulm', 'Victor Meutelet', 'Caroline Hartig', 'Zoë Straub', 'Sandra Drzymalska', 'Maja Szopa', 'Gabriel Raab', 'Bohdan Graczyk']",['Dark'],"['English', 'Polish']",['Polish [Original]']
81023618,Finding ‘Ohana,movie,2021,7396.0,https://occ-0-2890-2186.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABbTdyie1iaylsBoQXaYK4v_Bb6lEsoBVsCpdmTkvSC0vd_WFB7ip3SRkrS52xGgjJsH30Jlc5GvWQJzwec-aY05NFY5h44iTtZkWSyujLkDXN378mXL7RE6j7XYWEREfwy49.jpg?r=502,True,U/A 7+,Suitable for children 7 and above and under parental guidance for persons under age of 7,['mild language'],India,"On Oʻahu for the summer, two siblings from Brooklyn connect with their Hawaiian heritage — and their family — on a daring quest for long-lost treasure.","['Family Features', 'Children & Family Movies', 'Comedy Movies', 'US Movies']","['Kea Peahu', 'Alex Aiono', 'Lindsay Watson', 'Owen Vaccaro', 'Kelly Hu', 'Branscombe Richmond', 'Ke Huy Quan', 'Brad Kalilimoku', 'Chris Parnell', 'Marc Evan Jackson', 'Ricky Garcia']",['Heartfelt'],['English'],"['English - Audio Description', 'English [Original]', 'Hindi']"
81329041,Finding Agnes,movie,2020,6339.0,https://occ-0-2890-2186.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABeuEMfuNfyFyJLyCDS35si851LHaeLrOYElJeRi-VEaJ7_6o-ubj8i2PaEuteGoAad4ECaLqyzB-SyWGx12J_guxvN81ZKfHYW9M3rVNut9CCDT_4B0HsJPLxqSO2GfdJE9M.jpg?r=35e,True,U/A 13+,Suitable for persons aged 13 and above and under parental guidance for people under age of 13,['mature themes'],India,"On an emotional journey in Morocco, an entrepreneur pieces together the turbulent life of his estranged mother and meets her adopted daughter.","['Filipino', 'Dramas']","['Jelson Bay', 'Sue Ramirez', 'Sandy Andolong', 'Roxanne Guinoo', 'Cheska Iñigo', 'Hannah Ledesma', 'Yuan Francisco', 'Raffa Esplana', 'Varoon Kessop']","['Sentimental', 'Understated', 'Heartfelt']","['English', 'Filipino']","['Filipino - Audio Description', 'Filipino [Original]']"
81591165,Finding Hubby 2,movie,2021,5638.0,https://occ-0-2890-2186.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABfWopYZmevgVtJc9PTBzrdfpmhzNTiQN-jRAJHanw4XJW7qPnaxkWIvXY4_NF8ti_4xesALmU37p0cxJPLWhoDbKzcc0xL6UYa0.webp?r=c7a,False,U/A 13+,Suitable for persons aged 13 and above and under parental guidance for people under age of 13,"['language', 'mature themes', 'violence']",India,"After discovering her fiancee's secret, a woman finds herself at a crossroads between a shallow marriage and the return to the chaotic world of dating.","['Nollywood', 'Dramas', 'Comedy Movies', 'African Movies']","['Ade Laoye', 'Munachi Abii', 'Kehinde Bankole', 'Charles Etubiebi', 'Paul Utomi', 'Efa Iwara', 'Tina Mba', 'Tope Tedela', 'Demi Banwo', 'Teniola Aladese']",['Intimate'],['English'],['English [Original]']
70295741,Finding Mr. Right,movie,2013,7353.0,https://occ-0-2890-2186.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABWVX_FBWnJNghrf035Wau3QYpjfeWo3fK4yNeiuos1KRxoV3oeVVGUOyaoBFbqDqiDhYYxz5BiPMhPQIv1-LZAu-42XeSXHAdDs.webp?r=fba,False,U/A 13+,Suitable for persons aged 13 and above and under parental guidance for people under age of 13,['language'],India,"A Chinese tycoon's mistress flees to Seattle to have their baby out of the tabloid spotlight, and unexpectedly falls in love with her driver.","['Hong Kong', 'Romantic Comedies', 'Comedy Movies', 'Romantic Movies', 'Chinese Movies']","['Tang Wei', 'Wu Xiubo', 'Hai Qing', 'Mai Hongmei', 'Elaine Jin', 'Liu Yiwei', 'Wang Qian', 'Li Qi Hong', 'Jessica Song', 'Monica Song']",['Romantic'],['English'],['Mandarin [Original]']
